price,size,rooms,bathroom,parking,furnished,elevator,balcony,floor,age,location_score,category
969.2680899768591,35.36414889528131,4,3,1,1,0,0,7,7.288231140942826,3,1
3510.121430917521,46.24441694806515,2,3,1,0,1,1,2,4.310895232757776,1,2
1816.7456935454493,91.6645673079114,4,2,1,0,0,1,16,1.884355429308275,8,2
1412.9425537759532,44.78380021081914,1,3,1,0,1,0,13,18.59556532026463,4,1
669.6248704623463,113.37902915609905,5,1,0,1,0,0,19,7.092166479602005,5,1
669.5962919146052,77.86639127508992,1,3,1,1,0,1,13,1.1600579655235808,1,1
559.8387686086807,82.56784111833576,3,3,1,1,1,1,1,0.7832173991148029,1,1
2511.2308644799396,71.64881097176318,2,3,1,1,0,0,3,4.83178763184059,10,2
1419.0821536272647,103.1854351563117,1,3,0,1,1,0,8,23.85780949827572,1,1
1731.2500617045903,103.49479663331033,1,1,0,1,0,0,15,7.092763584149889,3,2
520.7993079991386,90.05163055736514,4,3,0,0,1,1,0,1.4981803546203833,6,1
4003.557475158312,96.94367317722944,4,2,0,0,1,1,1,2.8320182512949947,5,2
2286.429543354675,73.63730990238723,4,3,1,1,0,0,11,0.5074595580186195,10,2
738.687625248947,96.26609020727146,3,3,1,0,0,1,15,17.828410637496145,7,1
700.6789887496634,69.8636667357858,1,2,1,1,1,0,14,29.19739702385553,1,0
702.6114228322571,80.06694866487206,5,1,1,1,0,0,18,0.8100813260997309,8,1
862.7537294604772,71.76068751901107,4,2,1,0,1,0,19,1.8992759728802409,5,1
1243.9278308608546,66.28344382042413,3,2,1,0,1,0,5,1.8761824319878952,6,1
1065.5370667803368,59.32664606834629,3,2,1,1,0,0,19,16.28142784023498,2,1
844.2229925539415,94.03070311576657,4,2,1,1,1,0,18,18.280436596900284,9,1
1446.3708738997987,119.3181773844039,2,3,0,0,0,0,14,5.43475698160265,3,1
650.2345287273387,115.13305915008678,1,3,1,0,0,1,3,34.84480566684902,5,1
845.5155120024023,42.30303992163694,4,3,1,0,1,0,15,3.0039826031724006,10,1
956.2772182208471,118.6760915422062,5,3,0,1,1,1,10,7.446935875673857,8,1
1108.9346878597748,70.45524495146213,1,1,1,1,0,0,6,55.96313639509302,1,1
2037.936011030912,98.02199045436775,3,3,1,1,1,0,1,17.550640769303566,4,2
722.7358621286903,52.81354003858367,5,3,0,1,1,0,6,6.67839464642637,5,0
1222.0291550331276,84.25939741622015,1,1,0,1,0,0,11,1.1487856007126227,6,1
1397.5047213097605,89.4116954869072,5,2,1,0,0,0,13,23.470807858604235,3,1
547.5638497564086,35.46185624241042,3,3,0,1,0,0,14,7.811608358860891,4,0
1435.3330206496103,98.24801499032569,4,3,0,1,1,1,19,3.686715577732062,3,1
686.9612519774164,120.37805023514946,5,2,0,1,1,0,6,6.000553979950736,4,1
567.2639308793042,74.76056162955116,4,3,0,0,0,0,17,3.724098374179745,7,1
3473.6877935069306,120.80504392484039,3,2,1,1,0,1,10,8.0085598633797,9,2
3870.6303424611724,74.30919519642778,3,2,0,0,0,1,9,3.187404935476486,9,2
2152.3315728128764,105.48753593139853,5,2,0,1,0,1,13,5.905609194392492,5,2
863.2878599687583,13.442901021467009,5,3,1,1,1,0,2,5.55579405438449,6,1
602.7773150025063,152.5633333794039,3,2,0,0,1,0,17,9.572929601586516,9,1
1652.7507630986618,124.8637473572887,5,3,0,0,0,1,11,0.14267314856665608,4,2
1080.0908425853984,71.46123487238964,5,1,0,1,1,1,0,9.131735935693296,7,1
630.1522339544487,20.83732920068546,5,2,1,0,1,0,12,8.992216809375943,3,0
1183.5472281341501,88.64085104916468,5,3,0,0,1,1,1,4.980546566268606,9,1
534.9937214434791,36.682233587787294,1,2,0,0,0,0,14,2.835564485819946,9,0
2900.4228873930238,93.34560612672465,3,3,0,1,0,1,10,18.279131740957187,10,2
799.4577768406862,92.34697157492846,3,3,0,1,1,0,5,4.2278944405104,5,1
1586.2557985649803,51.75790492993926,2,1,0,1,0,0,5,3.735732393941182,4,2
873.5465816576236,113.62901070843134,4,2,0,1,0,1,11,6.220681540745635,10,1
1234.1108959092285,104.1672410841852,2,3,1,0,1,0,15,3.2571609351714037,10,1
1291.2237979817976,109.27470011865691,5,1,0,1,1,1,15,17.764572032574847,9,1
704.3885995079057,80.26573111006687,5,3,1,0,0,0,9,8.322899274469206,5,1
3992.8071327362263,37.534277992588805,1,3,1,1,1,1,16,14.039660427805089,1,2
1992.2453771381408,109.33616816633413,1,1,1,1,1,1,19,13.679919359933768,2,2
3305.094419291582,71.88885802592627,1,2,1,0,1,1,1,15.521473600909971,10,2
2752.1519975341967,38.30659570421993,1,1,0,1,0,1,12,20.341305613466368,7,2
1411.0544123832751,120.56118097922977,1,2,0,1,1,1,16,25.190505217870896,3,1
3049.435379269405,142.98222561507527,1,3,0,1,1,0,8,4.838738765300206,1,2
592.6554589531156,78.7625561306239,1,3,0,0,0,1,14,5.86479040494457,9,1
718.1346946312674,144.77363463809877,1,1,0,1,0,0,6,0.5135529115083524,4,1
546.281965686832,82.73944185834048,1,1,0,0,0,0,12,25.997301668820462,3,1
893.5320868030868,68.58632287500947,3,1,1,0,0,1,9,8.846593449511587,5,1
992.1302917942186,61.086246374435675,1,3,0,1,1,0,17,12.45887334020978,1,1
816.5604432088257,129.11247223978228,4,2,0,1,0,0,9,5.727103444375874,1,1
2264.557865240934,56.595683558366844,1,1,1,1,0,0,17,6.421649815924026,1,2
941.2269995298702,102.05807929924963,5,2,0,1,0,1,13,7.834580730279814,7,1
829.8028401342492,63.22508494822375,5,1,1,0,1,0,18,15.864872059252711,7,1
1282.407083207746,66.19079712276911,1,1,0,0,0,0,0,9.492494290286169,9,1
651.8981478206289,110.907490819087,1,1,0,1,0,0,3,16.671217086256615,5,1
2120.483595774731,68.5988946113194,5,1,1,1,1,1,13,2.4422168964106197,2,2
577.475868811309,67.85613861739121,4,3,0,1,1,1,4,2.304688850254137,9,0
4834.14633958732,113.98414091524421,2,3,0,0,1,1,4,2.316970249891411,4,2
1979.4837762415114,127.9219187966487,3,1,1,1,1,1,19,0.04855616536664182,5,2
721.539440505886,99.340694098527,5,3,0,1,1,1,13,1.9730969464888235,1,1
505.5374203759355,60.356906731281526,1,3,0,1,1,1,7,1.2641042200200596,2,0
